[18:17:33] [INFO] received Windows console close event; shutting log-core down
[18:17:56] [INFO] received Windows console close event; shutting log-core down
[18:19:36] [INFO] received Windows console close event; shutting log-core down
[18:21:14] [INFO] received Windows console close event; shutting log-core down
[18:39:29] [INFO] received Windows console close event; shutting log-core down
[18:44:54] [INFO] received Windows console close event; shutting log-core down
[19:06:08] [INFO] received Windows console close event; shutting log-core down
[13:17:38] [INFO] received Windows console close event; shutting log-core down
[13:23:27] [INFO] received Windows console close event; shutting log-core down
[13:24:38] [INFO] received Windows console close event; shutting log-core down
[13:26:50] [INFO] received Windows console close event; shutting log-core down
[13:27:55] [INFO] received Windows console close event; shutting log-core down
[13:31:17] [INFO] received Windows console close event; shutting log-core down
[13:32:33] [INFO] received Windows console close event; shutting log-core down
[13:36:28] [INFO] received Windows console close event; shutting log-core down
[13:38:33] [INFO] received Windows console close event; shutting log-core down
[13:39:24] [INFO] received Windows console close event; shutting log-core down
[13:44:49] [INFO] received Windows console close event; shutting log-core down
[13:52:43] [INFO] received Windows console close event; shutting log-core down
[13:54:30] [INFO] received Windows console close event; shutting log-core down
[13:56:24] [INFO] received Windows console close event; shutting log-core down
[13:57:04] [INFO] received Windows console close event; shutting log-core down
[13:58:15] [INFO] received Windows console close event; shutting log-core down
[14:01:09] [INFO] received Windows console close event; shutting log-core down
[14:03:04] [INFO] received Windows console close event; shutting log-core down
[14:03:57] [INFO] received Windows console close event; shutting log-core down
[14:05:16] [INFO] received Windows console close event; shutting log-core down
[14:06:59] [INFO] received Windows console close event; shutting log-core down
[15:04:59] [INFO] received Windows console close event; shutting log-core down
[16:33:36] [INFO] received Windows console close event; shutting log-core down
[17:01:31] [INFO] received Windows console close event; shutting log-core down
[19:00:22] [INFO] received Windows console close event; shutting log-core down
[19:01:04] [INFO] received Windows console close event; shutting log-core down
[19:04:24] [INFO] received Windows console close event; shutting log-core down
[20:23:08] [INFO] received Windows console close event; shutting log-core down
[20:30:03] [INFO] received Windows console close event; shutting log-core down
[13:10:34] [INFO] received Windows console close event; shutting log-core down
